cleaning log files...
loading spack
loading fdapde_devel environment
Eigen library found at /home/u10656115/.spack/packages/linux-cascadelake/eigen-3.4.0-hklx4lp26fdlaepysl2vcl6zyvtf5cag
compiling...
launching executable...
valori lamda:
5.62341e-10 , 5.62341e-08
5.62341e-10 , 1e-07
5.62341e-10 , 1.77828e-07
5.62341e-10 , 3.16228e-07
5.62341e-10 , 5.62341e-07
5.62341e-10 , 1e-06
5.62341e-10 , 1.77828e-06
5.62341e-10 , 3.16228e-06
5.62341e-10 , 5.62341e-06
1e-09 , 1e-10
1e-09 , 1.77828e-10
1e-09 , 3.16228e-10
1e-09 , 5.62341e-10
1e-09 , 1e-09
1e-09 , 1.77828e-09
1e-09 , 3.16228e-09
1e-09 , 5.62341e-09
1e-09 , 1e-08
1e-09 , 1.77828e-08
1e-09 , 3.16228e-08
1e-09 , 5.62341e-08
1e-09 , 1e-07
1e-09 , 1.77828e-07
1e-09 , 3.16228e-07
1e-09 , 5.62341e-07
1e-09 , 1e-06
1e-09 , 1.77828e-06
1e-09 , 3.16228e-06
1e-09 , 5.62341e-06
1.77828e-09 , 1e-10
1.77828e-09 , 1.77828e-10
1.77828e-09 , 3.16228e-10
1.77828e-09 , 5.62341e-10
1.77828e-09 , 1e-09
1.77828e-09 , 1.77828e-09
1.77828e-09 , 3.16228e-09
1.77828e-09 , 5.62341e-09
1.77828e-09 , 1e-08
1.77828e-09 , 1.77828e-08
1.77828e-09 , 3.16228e-08
1.77828e-09 , 5.62341e-08
1.77828e-09 , 1e-07
1.77828e-09 , 1.77828e-07
1.77828e-09 , 3.16228e-07
1.77828e-09 , 5.62341e-07
1.77828e-09 , 1e-06
1.77828e-09 , 1.77828e-06
1.77828e-09 , 3.16228e-06
1.77828e-09 , 5.62341e-06
3.16228e-09 , 1e-10
3.16228e-09 , 1.77828e-10
3.16228e-09 , 3.16228e-10
3.16228e-09 , 5.62341e-10
3.16228e-09 , 1e-09
3.16228e-09 , 1.77828e-09
3.16228e-09 , 3.16228e-09
3.16228e-09 , 5.62341e-09
3.16228e-09 , 1e-08
3.16228e-09 , 1.77828e-08
3.16228e-09 , 3.16228e-08
3.16228e-09 , 5.62341e-08
3.16228e-09 , 1e-07
3.16228e-09 , 1.77828e-07
3.16228e-09 , 3.16228e-07
3.16228e-09 , 5.62341e-07
3.16228e-09 , 1e-06
3.16228e-09 , 1.77828e-06
3.16228e-09 , 3.16228e-06
3.16228e-09 , 5.62341e-06
5.62341e-09 , 1e-10
5.62341e-09 , 1.77828e-10
5.62341e-09 , 3.16228e-10
5.62341e-09 , 5.62341e-10
5.62341e-09 , 1e-09
5.62341e-09 , 1.77828e-09
5.62341e-09 , 3.16228e-09
5.62341e-09 , 5.62341e-09
5.62341e-09 , 1e-08
5.62341e-09 , 1.77828e-08
5.62341e-09 , 3.16228e-08
5.62341e-09 , 5.62341e-08
5.62341e-09 , 1e-07
5.62341e-09 , 1.77828e-07
5.62341e-09 , 3.16228e-07
5.62341e-09 , 5.62341e-07
5.62341e-09 , 1e-06
5.62341e-09 , 1.77828e-06
5.62341e-09 , 3.16228e-06
5.62341e-09 , 5.62341e-06
1e-08 , 1e-10
1e-08 , 1.77828e-10
1e-08 , 3.16228e-10
1e-08 , 5.62341e-10
1e-08 , 1e-09
1e-08 , 1.77828e-09
1e-08 , 3.16228e-09
1e-08 , 5.62341e-09
1e-08 , 1e-08
1e-08 , 1.77828e-08
1e-08 , 3.16228e-08
1e-08 , 5.62341e-08
1e-08 , 1e-07
1e-08 , 1.77828e-07
1e-08 , 3.16228e-07
1e-08 , 5.62341e-07
1e-08 , 1e-06
1e-08 , 1.77828e-06
1e-08 , 3.16228e-06
1e-08 , 5.62341e-06
1.77828e-08 , 1e-10
1.77828e-08 , 1.77828e-10
1.77828e-08 , 3.16228e-10
1.77828e-08 , 5.62341e-10
1.77828e-08 , 1e-09
1.77828e-08 , 1.77828e-09
1.77828e-08 , 3.16228e-09
1.77828e-08 , 5.62341e-09
1.77828e-08 , 1e-08
1.77828e-08 , 1.77828e-08
1.77828e-08 , 3.16228e-08
1.77828e-08 , 5.62341e-08
1.77828e-08 , 1e-07
1.77828e-08 , 1.77828e-07
1.77828e-08 , 3.16228e-07
1.77828e-08 , 5.62341e-07
1.77828e-08 , 1e-06
1.77828e-08 , 1.77828e-06
1.77828e-08 , 3.16228e-06
1.77828e-08 , 5.62341e-06
3.16228e-08 , 1e-10
3.16228e-08 , 1.77828e-10
3.16228e-08 , 3.16228e-10
3.16228e-08 , 5.62341e-10
3.16228e-08 , 1e-09
3.16228e-08 , 1.77828e-09
3.16228e-08 , 3.16228e-09
3.16228e-08 , 5.62341e-09
3.16228e-08 , 1e-08
3.16228e-08 , 1.77828e-08
3.16228e-08 , 3.16228e-08
3.16228e-08 , 5.62341e-08
3.16228e-08 , 1e-07
3.16228e-08 , 1.77828e-07
3.16228e-08 , 3.16228e-07
3.16228e-08 , 5.62341e-07
3.16228e-08 , 1e-06
3.16228e-08 , 1.77828e-06
3.16228e-08 , 3.16228e-06
3.16228e-08 , 5.62341e-06
5.62341e-08 , 1e-10
5.62341e-08 , 1.77828e-10
5.62341e-08 , 3.16228e-10
5.62341e-08 , 5.62341e-10
5.62341e-08 , 1e-09
5.62341e-08 , 1.77828e-09
5.62341e-08 , 3.16228e-09
5.62341e-08 , 5.62341e-09
5.62341e-08 , 1e-08
5.62341e-08 , 1.77828e-08
5.62341e-08 , 3.16228e-08
5.62341e-08 , 5.62341e-08
5.62341e-08 , 1e-07
5.62341e-08 , 1.77828e-07
5.62341e-08 , 3.16228e-07
5.62341e-08 , 5.62341e-07
5.62341e-08 , 1e-06
5.62341e-08 , 1.77828e-06
5.62341e-08 , 3.16228e-06
5.62341e-08 , 5.62341e-06
1e-07 , 1e-10
1e-07 , 1.77828e-10
1e-07 , 3.16228e-10
1e-07 , 5.62341e-10
1e-07 , 1e-09
1e-07 , 1.77828e-09
1e-07 , 3.16228e-09
1e-07 , 5.62341e-09
1e-07 , 1e-08
1e-07 , 1.77828e-08
1e-07 , 3.16228e-08
1e-07 , 5.62341e-08
1e-07 , 1e-07
1e-07 , 1.77828e-07
1e-07 , 3.16228e-07
1e-07 , 5.62341e-07
1e-07 , 1e-06
1e-07 , 1.77828e-06
1e-07 , 3.16228e-06
1e-07 , 5.62341e-06
1.77828e-07 , 1e-10
1.77828e-07 , 1.77828e-10
1.77828e-07 , 3.16228e-10
1.77828e-07 , 5.62341e-10
1.77828e-07 , 1e-09
1.77828e-07 , 1.77828e-09
1.77828e-07 , 3.16228e-09
1.77828e-07 , 5.62341e-09
1.77828e-07 , 1e-08
1.77828e-07 , 1.77828e-08
1.77828e-07 , 3.16228e-08
1.77828e-07 , 5.62341e-08
1.77828e-07 , 1e-07
1.77828e-07 , 1.77828e-07
1.77828e-07 , 3.16228e-07
1.77828e-07 , 5.62341e-07
1.77828e-07 , 1e-06
1.77828e-07 , 1.77828e-06
1.77828e-07 , 3.16228e-06
1.77828e-07 , 5.62341e-06
3.16228e-07 , 1e-10
3.16228e-07 , 1.77828e-10
3.16228e-07 , 3.16228e-10
3.16228e-07 , 5.62341e-10
3.16228e-07 , 1e-09
3.16228e-07 , 1.77828e-09
3.16228e-07 , 3.16228e-09
3.16228e-07 , 5.62341e-09
3.16228e-07 , 1e-08
3.16228e-07 , 1.77828e-08
3.16228e-07 , 3.16228e-08
3.16228e-07 , 5.62341e-08
3.16228e-07 , 1e-07
3.16228e-07 , 1.77828e-07
3.16228e-07 , 3.16228e-07
3.16228e-07 , 5.62341e-07
3.16228e-07 , 1e-06
3.16228e-07 , 1.77828e-06
3.16228e-07 , 3.16228e-06
3.16228e-07 , 5.62341e-06
5.62341e-07 , 1e-10
5.62341e-07 , 1.77828e-10
5.62341e-07 , 3.16228e-10
5.62341e-07 , 5.62341e-10
5.62341e-07 , 1e-09
5.62341e-07 , 1.77828e-09
5.62341e-07 , 3.16228e-09
5.62341e-07 , 5.62341e-09
5.62341e-07 , 1e-08
5.62341e-07 , 1.77828e-08
5.62341e-07 , 3.16228e-08
5.62341e-07 , 5.62341e-08
5.62341e-07 , 1e-07
5.62341e-07 , 1.77828e-07
5.62341e-07 , 3.16228e-07
5.62341e-07 , 5.62341e-07
5.62341e-07 , 1e-06
5.62341e-07 , 1.77828e-06
5.62341e-07 , 3.16228e-06
5.62341e-07 , 5.62341e-06
1e-06 , 1e-10
1e-06 , 1.77828e-10
1e-06 , 3.16228e-10
1e-06 , 5.62341e-10
1e-06 , 1e-09
1e-06 , 1.77828e-09
1e-06 , 3.16228e-09
1e-06 , 5.62341e-09
1e-06 , 1e-08
1e-06 , 1.77828e-08
1e-06 , 3.16228e-08
1e-06 , 5.62341e-08
1e-06 , 1e-07
1e-06 , 1.77828e-07
1e-06 , 3.16228e-07
1e-06 , 5.62341e-07
1e-06 , 1e-06
1e-06 , 1.77828e-06
1e-06 , 3.16228e-06
1e-06 , 5.62341e-06
1.77828e-06 , 1e-10
1.77828e-06 , 1.77828e-10
1.77828e-06 , 3.16228e-10
1.77828e-06 , 5.62341e-10
1.77828e-06 , 1e-09
1.77828e-06 , 1.77828e-09
1.77828e-06 , 3.16228e-09
1.77828e-06 , 5.62341e-09
1.77828e-06 , 1e-08
1.77828e-06 , 1.77828e-08
1.77828e-06 , 3.16228e-08
1.77828e-06 , 5.62341e-08
1.77828e-06 , 1e-07
1.77828e-06 , 1.77828e-07
1.77828e-06 , 3.16228e-07
1.77828e-06 , 5.62341e-07
1.77828e-06 , 1e-06
1.77828e-06 , 1.77828e-06
1.77828e-06 , 3.16228e-06
1.77828e-06 , 5.62341e-06
3.16228e-06 , 1e-10
3.16228e-06 , 1.77828e-10
3.16228e-06 , 3.16228e-10
3.16228e-06 , 5.62341e-10
3.16228e-06 , 1e-09
3.16228e-06 , 1.77828e-09
3.16228e-06 , 3.16228e-09
3.16228e-06 , 5.62341e-09
3.16228e-06 , 1e-08
3.16228e-06 , 1.77828e-08
3.16228e-06 , 3.16228e-08
3.16228e-06 , 5.62341e-08
3.16228e-06 , 1e-07
3.16228e-06 , 1.77828e-07
3.16228e-06 , 3.16228e-07
3.16228e-06 , 5.62341e-07
3.16228e-06 , 1e-06
3.16228e-06 , 1.77828e-06
3.16228e-06 , 3.16228e-06
3.16228e-06 , 5.62341e-06
5.62341e-06 , 1e-10
5.62341e-06 , 1.77828e-10
5.62341e-06 , 3.16228e-10
5.62341e-06 , 5.62341e-10
5.62341e-06 , 1e-09
5.62341e-06 , 1.77828e-09
5.62341e-06 , 3.16228e-09
5.62341e-06 , 5.62341e-09
5.62341e-06 , 1e-08
5.62341e-06 , 1.77828e-08
5.62341e-06 , 3.16228e-08
5.62341e-06 , 5.62341e-08
5.62341e-06 , 1e-07
5.62341e-06 , 1.77828e-07
5.62341e-06 , 3.16228e-07
5.62341e-06 , 5.62341e-07
5.62341e-06 , 1e-06
5.62341e-06 , 1.77828e-06
5.62341e-06 , 3.16228e-06
5.62341e-06 , 5.62341e-06

per ogni obs valutiamo gcv:
obs-0
